id_usuario,nombre,apellido,DNI,latitud,longitud
1,María,Rojas,10755365,-11.944124326492055,-76.71178821662338
2,Lucía,Flores,59265650,-11.944133107490902,-76.7088701059129
3,Jorge,Pérez,54655128,-11.944353419789024,-76.71037822492639
4,Ana,Pérez,96275676,-11.94660597506342,-76.71248870275265
5,Elena,García,16705221,-11.948707815815398,-76.70525126977043
6,Carlos,Torres,98290099,-11.948231589706172,-76.71257871559338
7,José,Mendoza,39962410,-11.946655221796709,-76.70781522686916
8,Elena,Pérez,96838454,-11.945384849034877,-76.70675677378198
9,María,Pérez,22422268,-11.94652047187273,-76.70966301751332
10,Carlos,Rojas,10629782,-11.94700604115978,-76.70406455261667
11,Pedro,Flores,20039944,-11.948062795257089,-76.70957053786931
12,Lucía,Flores,47074599,-11.942598669357205,-76.70925860270764
13,Elena,Ruiz,55627896,-11.945055862976632,-76.7108894620992
14,Jorge,Ramírez,63431020,-11.944368565584062,-76.71094100600489
15,Lucía,Torres,73818644,-11.941608362649616,-76.70386843099523
16,Luis,García,63789826,-11.946172475355024,-76.71460940893873
17,Luis,Ruiz,90343708,-11.944764846145054,-76.70276087198704
18,Carmen,Ruiz,36194006,-11.946911023703908,-76.70558264958366
19,Carmen,Vargas,70660775,-11.93946689755777,-76.71216076472513
20,Jorge,Torres,25160190,-11.942793050762443,-76.70561481013061
21,Carmen,Rojas,83381856,-11.945637383222962,-76.7111107410803
22,Luis,Ramírez,82848602,-11.946245042741843,-76.71354427019207
23,Jorge,Ruiz,63300799,-11.946447832635195,-76.71417182080029
24,Jorge,Rojas,75177108,-11.944397749595222,-76.71280991969317
25,Luis,Ramírez,87325018,-11.943798642264628,-76.71516768693861
26,María,Flores,53018113,-11.943507359303355,-76.70799941311518
27,Lucía,Mendoza,11053283,-11.950481206927714,-76.70937783029045
28,José,Soto,42003950,-11.94081699302258,-76.71412892305607
29,Lucía,Flores,19982207,-11.939482282839489,-76.7092429429719
30,Luis,Ramírez,55143190,-11.946615035567277,-76.71066730723297
31,Elena,Flores,43705532,-11.942825019262434,-76.71027198382576
32,Elena,Soto,68534975,-11.94288373202266,-76.71326202077924
33,Carlos,Flores,26067834,-11.94399191752789,-76.71474114349071
34,Ana,Ruiz,89474055,-11.944833678184043,-76.71321172292438
35,Jorge,Soto,11175536,-11.94670658982777,-76.70679172047437
36,Carmen,Rojas,85488005,-11.941226069638216,-76.70867258563727
37,Jorge,Torres,70183220,-11.947776938294018,-76.71144922534909
38,Ana,Ramírez,64810531,-11.940860706900065,-76.71007484925907
39,Ana,Mendoza,14597622,-11.937542011380057,-76.7093200464818
40,María,García,59610118,-11.94392385265053,-76.71142734939261
41,Jorge,Ramírez,80333171,-11.944099377285651,-76.71095740950913
42,Carmen,Pérez,92462381,-11.942375673969934,-76.70762989304961
43,José,Pérez,19794842,-11.946857968381524,-76.71449369886066
44,María,Rojas,65858290,-11.950008616119309,-76.70897602601926
45,Jorge,Pérez,83380292,-11.947810099818522,-76.71695867177885
46,María,Soto,49484205,-11.943334264186406,-76.7030210014477
47,Luis,Pérez,11777880,-11.94451821273462,-76.70798452767664
48,María,Soto,19254598,-11.944254511924356,-76.71079666895957
49,Jorge,Rojas,54568585,-11.941742770551036,-76.71137082363256
50,Elena,Pérez,29732318,-11.943697823057784,-76.70953490658141
51,Elena,Vargas,73961783,-11.94650427136093,-76.70752387295138
52,Pedro,Ramírez,96187483,-11.945024879270086,-76.71276723547848
53,José,García,73395588,-11.942890470469289,-76.71319540394536
54,Luis,García,40281173,-11.944415456527892,-76.71052735698993
55,Carlos,Ruiz,23486545,-11.941242313302505,-76.70907590530136
56,María,Rojas,35165408,-11.944575080876236,-76.70804670110239
57,Carmen,Ramírez,56588294,-11.940329377352947,-76.70882656908094
58,José,Rojas,18130531,-11.94446894214047,-76.71443550869705
59,José,García,91963332,-11.947695340989226,-76.71141567411306
60,María,García,20397248,-11.946328536606478,-76.71106091390895
61,Carmen,Soto,14771516,-11.94433005022531,-76.70891092173693
62,Carmen,Pérez,76897575,-11.944711496334175,-76.70904049506852
63,Carlos,Soto,58308708,-11.944306576755569,-76.71642639969906
64,Luis,Soto,28593924,-11.947318006181456,-76.71093226266716
65,José,Flores,44259993,-11.948129084228524,-76.70870021381
66,Lucía,García,37533013,-11.939907747502968,-76.7068437144449
67,Ana,Vargas,44508347,-11.94514032861279,-76.70602782158944
68,Pedro,Ruiz,36660826,-11.944053997628393,-76.71151125791334
69,Lucía,Rojas,36390851,-11.946340207990623,-76.71140740905946
70,Carlos,Vargas,59227421,-11.945664530455623,-76.70998875133287
71,Carlos,Ruiz,44662745,-11.94401827805685,-76.71049086193953
72,Carmen,Rojas,50739541,-11.94318918549076,-76.70692806117563
73,María,Mendoza,96383873,-11.941651337593676,-76.71495469390534
74,Luis,Vargas,97053085,-11.952161763404703,-76.70769704026628
75,Carlos,Flores,64776410,-11.948600636095248,-76.71117429620567
76,José,Pérez,91355844,-11.948010339078175,-76.71590594131274
77,Luis,Flores,93263364,-11.942875611815383,-76.7082225345191
78,José,Ruiz,94681586,-11.94622953120218,-76.71827312687643
79,José,Flores,26412631,-11.946138733344757,-76.70932458798379
80,Lucía,Torres,63552567,-11.948936734706322,-76.70994992024066
81,Pedro,Pérez,75291210,-11.944545929547518,-76.7087621255012
82,Jorge,Torres,15561548,-11.944141258894756,-76.71341920682264
83,Carlos,Rojas,11790711,-11.940910285495006,-76.71097558871908
84,María,Torres,19911993,-11.94458191361853,-76.71329980387722
85,María,Mendoza,43997907,-11.945829846753574,-76.71315440814207
86,Carlos,Soto,21734950,-11.94501883817977,-76.70536487455956
87,José,Pérez,66122403,-11.948615703428796,-76.71534068419362
88,María,Mendoza,47784917,-11.94008648901752,-76.71112797103144
89,Lucía,Mendoza,46692962,-11.94650721821598,-76.7073802859378
90,Elena,Ramírez,66147102,-11.94631684661921,-76.70502197085935
91,Luis,Ramírez,14123202,-11.94246622238598,-76.71196373422444
92,Pedro,Ruiz,99276897,-11.938028075360204,-76.712317144769
93,Carlos,Ramírez,62405784,-11.942273713883973,-76.70960212225877
94,Carmen,Torres,64769303,-11.940594776131803,-76.70581546640982
95,María,Flores,18179066,-11.944403987552802,-76.71276025361104
96,Jorge,Vargas,66316672,-11.943120083571182,-76.71253314610925
97,María,Pérez,18459490,-11.93845983825742,-76.71009039400674
98,Elena,García,49847775,-11.945595964653936,-76.7099459590824
99,Luis,Soto,20324911,-11.948541378868589,-76.71341484211553
100,María,Pérez,92493037,-11.940898758276166,-76.71247068283691
101,Carmen,Ramírez,53355387,-11.947640732948043,-76.70889004174242
102,Ana,Ramírez,55246322,-11.94094288753601,-76.708343140068
103,Lucía,Flores,18449058,-11.941511856942585,-76.7127703852657
104,Elena,Mendoza,16689013,-11.948765432000226,-76.70599599904413
105,José,Ruiz,51836263,-11.945468039516529,-76.71125249904937
106,Elena,García,65418818,-11.940515417574453,-76.7088313099718
107,José,Pérez,59014096,-11.943132336683757,-76.7040049929653
108,José,Soto,90229996,-11.94643055469114,-76.70771647961575
109,Elena,Mendoza,75753179,-11.944328960625308,-76.70969422316341
110,Elena,Soto,91107596,-11.93991459472076,-76.70897649273113
111,María,Ruiz,17248702,-11.94288511176285,-76.70728247798807
112,Carlos,Pérez,28909093,-11.945594858188628,-76.71301762900201
113,Carlos,Ramírez,67962780,-11.947634427582065,-76.71639906976813
114,Ana,Ramírez,13259984,-11.93833137861018,-76.71380962509716
115,Pedro,Torres,88654313,-11.945163760870756,-76.71133043989967
116,Luis,Vargas,56589939,-11.943577779906573,-76.70805278836238
117,Carlos,García,93797016,-11.94191857953492,-76.7122492323157
118,Luis,Ramírez,14484321,-11.945001365141358,-76.70965226014853
119,María,Ruiz,89896888,-11.94524607337855,-76.70567796327194
120,Carlos,Soto,68123445,-11.943027075145086,-76.70829536664185
121,Carlos,Pérez,89823768,-11.942511356193997,-76.70697957842754
122,Jorge,Vargas,32924951,-11.943956935323888,-76.71439049584386
123,Jorge,Torres,92657343,-11.94330093614474,-76.71245407068137
124,Pedro,Soto,31685428,-11.946085850045248,-76.70874090794374
125,José,Mendoza,80923828,-11.9407851507857,-76.71043618526978
126,Lucía,Mendoza,71944775,-11.943573500962202,-76.7053933551661
127,Carmen,Torres,45584704,-11.943777740461536,-76.70269495065746
128,Lucía,Vargas,36742352,-11.942803471063105,-76.71578228827747
129,Elena,Ramírez,26730067,-11.942239975136689,-76.70935652484535
130,Luis,Flores,60091512,-11.94063074173775,-76.70848045594619
131,Luis,Pérez,35670424,-11.944915367951952,-76.71417289470887
132,María,García,55691132,-11.945127069771855,-76.71305156136262
133,Lucía,Ruiz,74891757,-11.946241570349414,-76.70873426478673
134,Pedro,García,71240943,-11.939490286486944,-76.70931598541053
135,María,Torres,33221937,-11.948087649186103,-76.70916619199534
136,Elena,Ruiz,16518345,-11.940910105540064,-76.71232934871296
137,Luis,Vargas,90890655,-11.94490205150002,-76.71045593541581
138,José,García,96807984,-11.946854694939246,-76.70855515869846
139,Ana,Torres,55267246,-11.944862844445822,-76.70924140266827
140,Lucía,Torres,90811134,-11.947162476533403,-76.71181237490097
141,Ana,Vargas,16337654,-11.942332855926516,-76.71161849945626
142,Luis,Ramírez,39622641,-11.9393191084463,-76.71169890855684
