id_usuario,nombre,apellido,DNI,latitud,longitud,afectado
4,Ana,Pérez,96275676,-11.94660597506342,-76.71248870275265,sí
6,Carlos,Torres,98290099,-11.948231589706172,-76.71257871559338,sí
37,Jorge,Torres,70183220,-11.947776938294018,-76.71144922534909,sí
43,José,Pérez,19794842,-11.946857968381524,-76.71449369886066,sí
59,José,García,91963332,-11.947695340989226,-76.71141567411306,sí
60,María,García,20397248,-11.946328536606478,-76.71106091390895,sí
64,Luis,Soto,28593924,-11.947318006181456,-76.71093226266716,sí
69,Lucía,Rojas,36390851,-11.946340207990623,-76.71140740905946,sí
75,Carlos,Flores,64776410,-11.948600636095248,-76.71117429620567,sí
80,Lucía,Torres,63552567,-11.948936734706322,-76.70994992024066,sí
99,Luis,Soto,20324911,-11.948541378868589,-76.71341484211553,sí
140,Lucía,Torres,90811134,-11.947162476533403,-76.71181237490097,sí
152,Lucía,Ramírez,16328904,-11.946954596650269,-76.71051012337223,sí
156,Luis,Flores,40503686,-11.9479250673424,-76.71108097837784,sí
177,María,Pérez,17126806,-11.94713394776027,-76.71298064106212,sí
185,Carlos,Rojas,67435306,-11.94918763757066,-76.71208715803203,sí
190,Luis,García,69077863,-11.946703774730391,-76.71293075731104,sí
192,Elena,Pérez,84548043,-11.947547465456935,-76.71031496045045,sí
276,María,Vargas,81230598,-11.933609696878998,-76.6784663740414,sí
600,Nombre600,Apellido600,50704801,-11.916754233546502,-76.65543310721999,sí
